username,0
0w0,Cluster 1
10sion,Cluster 2
3xHCCH,Cluster 1
851222,Cluster 1
=G=,Cluster 5
AKS-6,Cluster 4
A_Different_Drummer,Cluster 1
Aaron1375,Cluster 3
AaronCapenBanner,Cluster 4
AbhiMathews,Cluster 3
Agent10,Cluster 3
AhmedSpielberg99,Cluster 4
AirBourne_Bds,Cluster 2
Al_The_Strange,Cluster 1
Alanjackd,Cluster 1
Alexander_Blanchett,Cluster 1
AlsExGal,Cluster 4
Aly200,Cluster 2
AmyJenson1995,Cluster 1
Amyth47,Cluster 3
Andres-Camara,Cluster 1
Andy-296,Cluster 1
Angelus2,Cluster 3
Angeneer,Cluster 3
Angry_Arguer,Cluster 2
Animany94,Cluster 3
AnishMisra,Cluster 1
Anonymous_Maxine,Cluster 4
Antagonisten,Cluster 3
Anurag-Shetty,Cluster 1
Aoi_kdr,Cluster 1
ArchonCinemaReviews,Cluster 1
Argemaluco,Cluster 1
ArtVandelayImporterExporter,Cluster 4
Atreyu_II,Cluster 2
AudioFileZ,Cluster 1
AvidClimber,Cluster 4
BA_Harrison,Cluster 3
Badmoviessuck,Cluster 1
BandSAboutMovies,Cluster 3
Barky44,Cluster 1
Ben_Cheshire,Cluster 3
BeneCumb,Cluster 1
Benjamin-M-Weilert,Cluster 1
Benjamin_Cox,Cluster 3
Bob Pr.,Cluster 2
Bob-45,Cluster 3
Bogmeister,Cluster 2
Bored_Dragon,Cluster 3
BoydudeReviews,Cluster 3
Boyo-2,Cluster 2
Bravesfan17,Cluster 1
BroadswordCallinDannyBoy,Cluster 3
Bruce722,Cluster 1
Buddy-51,Cluster 1
Bunuel1976,Cluster 1
C22Man,Cluster 2
CANpatbuck3664,Cluster 1
CMTiago,Cluster 1
Calicodreamin,Cluster 4
Captain_Couth,Cluster 2
Carycomic,Cluster 1
Catherine_Grace_Zeh,Cluster 4
CelluRob,Cluster 2
Chalice_Of_Evil,Cluster 1
CharltonBoy,Cluster 5
Chris Knipp,Cluster 1
Chris_Docker,Cluster 1
ChristianUnchained,Cluster 1
Christian_Dimartino,Cluster 1
Christopher_Reid,Cluster 1
Chuck-149,Cluster 2
CineCritic2517,Cluster 1
CineMuseFilms,Cluster 1
Cineanalyst,Cluster 1
CinemaSerf,Cluster 4
CinematicInceptions,Cluster 1
Cirene404,Cluster 1
ClaytonDavis,Cluster 1
Cocacolaguy912-2,Cluster 2
Cosmoeticadotcom,Cluster 2
CountZero313,Cluster 1
Coventry,Cluster 3
Coxer99,Cluster 2
CrassActionHero,Cluster 3
Cristi_Ciopron,Cluster 3
CubsandCulture,Cluster 1
CuriosityKilledShawn,Cluster 3
DICK STEEL,Cluster 1
DJAkin,Cluster 1
DKosty123,Cluster 1
Dan1863Sickles,Cluster 1
Danny_G13,Cluster 2
Danusha_Goska,Cluster 1
DareDevilKid,Cluster 1
DarkVulcan29,Cluster 1
Darkside-Reviewer,Cluster 3
DarthBill,Cluster 2
DarthVoorhees,Cluster 4
Darth_Osmosis,Cluster 4
DavidSim240183,Cluster 3
DavidYZ,Cluster 2
David_Frames,Cluster 2
Deckard-16,Cluster 1
DeeNine-2,Cluster 2
Didier-Becu,Cluster 3
Dockelektro,Cluster 4
DonFishies,Cluster 1
Doylenf,Cluster 4
Dr_Coulardeau,Cluster 5
Dragonsouls,Cluster 1
DunnDeeDaGreat,Cluster 3
EUyeshima,Cluster 1
Ed-Shullivan,Cluster 1
Edvis-1997,Cluster 1
EijnarAmadeus,Cluster 4
Electrified_Voltage,Cluster 3
ElijahCSkuggs,Cluster 4
Elswet,Cluster 3
EmmettvanHalm,Cluster 1
EmperorNortonII,Cluster 3
Enchorde,Cluster 1
Endless_01,Cluster 1
Equalizer16,Cluster 1
Eternality,Cluster 1
EthanBJones_03,Cluster 1
Eumenides_0,Cluster 1
EvLauster,Cluster 2
ExpendableMan,Cluster 3
FairlyAnonymous,Cluster 1
FallenEye,Cluster 1
FeastMode,Cluster 3
Fella_shibby,Cluster 4
Fields201,Cluster 1
Figgy66-915-598470,Cluster 1
FilmCriticLalitRao,Cluster 2
FilmFanInTheHouse,Cluster 3
FilmFanatic03,Cluster 1
FilmMan47,Cluster 1
FilmMuscle,Cluster 1
FilmOtaku,Cluster 2
Flagrant-Baronessa,Cluster 1
FlashCallahan,Cluster 3
FlickJunkie-2,Cluster 2
Floated2,Cluster 1
Fluke_Skywalker,Cluster 3
FrankBooth_DeLarge,Cluster 2
GOWBTW,Cluster 3
Galina_movie_fan,Cluster 1
Geeky Randy,Cluster 3
Genti22,Cluster 1
GeorgeRoots,Cluster 3
Gideon24,Cluster 3
GiraffeDoor,Cluster 3
GirishGowda,Cluster 1
Gresh854,Cluster 1
Gubby-Allen,Cluster 3
HelenMary,Cluster 1
Hellmant,Cluster 1
Hey_Sweden,Cluster 4
Hollywood_Yoda,Cluster 4
Horror-yo,Cluster 4
Horst_In_Translation,Cluster 1
HotToastyRag,Cluster 4
Howlin Wolf,Cluster 2
I_Am_The_Taylrus,Cluster 2
I_Love_Spielberg,Cluster 3
Imdbidia,Cluster 1
Indy-52,Cluster 3
InlyCii,Cluster 2
Irishchatter,Cluster 3
Isaac5855,Cluster 1
J_Batek_II,Cluster 1
Jack the Ripper1888,Cluster 2
Jackpollins,Cluster 1
Jacques98,Cluster 2
JakeBrinkman,Cluster 4
JamesHitchcock,Cluster 4
James_De_Bello,Cluster 1
Jared_Andrews,Cluster 1
JayPatton88,Cluster 3
Jay_Exiomo,Cluster 1
JaydoDre,Cluster 1
Jeremy_Urquhart,Cluster 2
Jerghal,Cluster 1
Jerique,Cluster 3
Jithindurden,Cluster 1
Jo_Blo_Movie_Critic,Cluster 1
JoeB131,Cluster 1
JoeKarlosi,Cluster 2
JohnRayPeterson,Cluster 1
Johnny-the-Film-Sentinel-2187,Cluster 3
Jonathon_Natsis,Cluster 1
Jonny_Numb,Cluster 4
JoshtheGiant,Cluster 2
K3nzit,Cluster 1
KUAlum26,Cluster 3
KalKenobi83,Cluster 1
Karl Self,Cluster 1
Kdosda_Hegen,Cluster 1
KeremUlucay,Cluster 1
KnightsofNi11,Cluster 4
Kubris,Cluster 2
L_Copa,Cluster 3
La Gremlin,Cluster 3
Laakbaar,Cluster 1
Lady_Targaryen,Cluster 3
LazySod,Cluster 1
LebowskiT1000,Cluster 3
Lejink,Cluster 1
LeonardKniffel,Cluster 3
Lewis_Heather787,Cluster 1
Likes_Ninjas90,Cluster 1
Lily_hoho,Cluster 2
LivingDog,Cluster 2
LloydBayer,Cluster 1
LoneWolfAndCub,Cluster 4
Luigi Di Pilla,Cluster 1
MBunge,Cluster 1
MCMAYNERBERRY,Cluster 1
MF210,Cluster 2
MGPT80,Cluster 4
MJB784,Cluster 1
MOscarbradley,Cluster 1
MR_Heraclius,Cluster 3
Macleanie,Cluster 1
Majikat76,Cluster 1
Maleplatypus,Cluster 1
Maniac-9,Cluster 2
Manthorpe,Cluster 2
Marc_Israel_365,Cluster 1
MartianOctocretr5,Cluster 4
Marwan-Bob,Cluster 1
Marx_Bros_Fan86,Cluster 3
MattBrady099,Cluster 1
Matt_Layden,Cluster 1
MattyAndAnnika,Cluster 1
MaxBorg89,Cluster 4
MaximumMadness,Cluster 3
Maziun,Cluster 3
Meven_Stoffat,Cluster 1
Michael Kenmore,Cluster 2
MichaelMRamey,Cluster 1
MichaelMargetis,Cluster 3
MickeyTheConstant,Cluster 1
MihaiSorinToma,Cluster 1
Mike_Devine,Cluster 1
MikesIDhasbeentaken,Cluster 1
MissSimonetta,Cluster 4
Mitch-25,Cluster 2
Mnemosyne15,Cluster 2
Monotreme02,Cluster 1
Movie Nuttball,Cluster 3
Movie-12,Cluster 2
MovieAddict2016,Cluster 3
MovieCriticOnline,Cluster 1
MovieGuy109,Cluster 4
MovieManMenzel,Cluster 2
MovieZoo,Cluster 1
Mr-Fusion,Cluster 3
MrDHWong,Cluster 1
MrGKB,Cluster 5
MrPupkin,Cluster 3
Mr_Sensitive,Cluster 3
Muhammad_Rafeeq,Cluster 3
NateWatchesCoolMovies,Cluster 3
Nazi_Fighter_David,Cluster 2
OMTR,Cluster 2
Offworld_Colony,Cluster 1
Okonh0wp,Cluster 2
OllieSuave-007,Cluster 3
OriginalMovieBuff21,Cluster 4
OttoVonB,Cluster 3
Ozzy2000,Cluster 1
PIST-OFF,Cluster 2
PWNYCNY,Cluster 1
PartialMovieViewer,Cluster 1
PassPopcorn,Cluster 1
PatrynXX,Cluster 3
Pavel-8,Cluster 1
Peach-2,Cluster 2
Pedro_H,Cluster 2
PersianPlaya408,Cluster 1
PetarNeo,Cluster 1
Petey-10,Cluster 2
Philby-3,Cluster 1
PipAndSqueak,Cluster 1
Polaris_DiB,Cluster 5
Pooooh,Cluster 1
Prashast_Singh,Cluster 1
PredragReviews,Cluster 2
Prichards12345,Cluster 1
