username,count,range,mean_year
RickHarvey,56,1241,2010
coreyjdenford,69,2031,2016
sunznc,54,4664,2011
ketgup83,121,3315,2013
MickeyTheConstant,53,503,2019
vitaleralphlouis,82,4198,2007
rgkarim,138,3235,2015
rcolgan,58,2295,2015
richieandsam,102,685,2013
HotToastyRag,103,1109,2018
mario_c,59,3225,2008
Shyinx,54,256,2019
BoydudeReviews,53,1446,2017
mjneu59,61,76,2010
Thanos_Alfie,164,2527,2015
leftbanker-1,60,3376,2016
screenman,104,4203,2009
Fluke_Skywalker,187,2422,2015
Andres-Camara,85,1221,2017
Jacques98,85,442,2008
wes-connors,180,3254,2009
view_and_review,361,5837,2013
Maziun,67,1934,2013
morganstephens512,67,289,2017
s3276169,60,2266,2016
triple8,123,1564,2004
rajatdahiyax,132,437,2014
kdnor2011,151,1569,2011
zkonedog,351,2625,2017
mr_popcorn,65,932,2007
jimbo-53-186511,228,2622,2015
trublu215,66,1577,2014
Fields201,56,3467,2013
anthonydapiii,82,59,2020
generationofswine,171,4012,2016
jotix100,136,4056,2005
miguelneto-74936,344,674,2016
rosscinema,90,1198,2003
petra_ste,96,4779,2013
caspian1978,73,6447,2003
christophershobris,53,2357,2016
marmar-69780,293,316,2019
michaelradny,50,1558,2014
hellraiser7,61,3102,2014
cliftonofun,120,906,2017
tabuno,372,537,2019
CubsandCulture,135,585,2018
andro-dolic,63,2853,2010
Marx_Bros_Fan86,59,4202,2010
jadepietro,240,3389,2015
kairingler,112,2673,2010
dave-mcclain,81,956,2016
mm-39,345,7376,2006
Hollywood_Yoda,109,6591,2012
jb_campo,89,2923,2015
bankofmarquis,155,2034,2017
thepriceofpayne,75,657,2018
Screen_Blitz,278,1379,2015
nobbytatoes,89,953,2005
renegadeviking-271-528568,59,1659,2019
Uriah43,177,2770,2015
ericrnolan,55,1860,2015
stensson,129,4414,2007
ivo-cobra8,134,3905,2015
RCWjr,70,3656,2007
tburke85,131,2061,2009
3xHCCH,277,4795,2011
juliankennedy23,72,5460,2013
Movie-12,75,1192,2000
witster18,91,4827,2012
Ryan_MYeah,90,1053,2011
Mr-Fusion,363,3800,2015
Barky44,83,3643,2006
Peach-2,75,895,1998
brett-76260,51,818,2019
jameslinton-75252,59,33,2016
ersinkdotcom,58,2429,2013
pinkliz41,116,1154,2008
dar0417,159,207,2019
Spleen,178,1459,2000
autisticreviewers,59,946,2016
rooee,89,2457,2012
Christopher_Reid,58,4568,2012
Jerique,81,5280,2010
gbill-74877,101,1549,2018
bheadher,81,3133,2016
jacobjohntaylor1,258,2191,2016
sashank_kini-1,84,2270,2010
johnnymonsarrat,100,6462,2003
Coxer99,124,186,1999
La Gremlin,76,1046,2001
rbn_lrk-1,85,3298,2015
Al_The_Strange,140,2432,2013
davydteather,78,1803,2011
dragokin,85,2225,2013
paudie,80,1777,2010
williampsamuel,96,1978,2015
Lily_hoho,75,79,2020
Isaac5855,50,1868,2007
Animany94,96,977,2018
midas-jacobs,51,696,2015
