username,count,dates,range,mean
MickeyTheConstant,58,"[2020, 2020, 2018, 2018, 2019, 2019, 2018, 2019, 2018, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2019, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2020]",2,2019
asda-man,70,"[2014, 2012, 2014, 2011, 2018, 2012, 2011, 2011, 2012, 2015, 2011, 2011, 2011, 2011, 2011, 2018, 2012, 2013, 2016, 2015, 2013, 2017, 2013, 2011, 2015, 2015, 2018, 2013, 2016, 2012, 2011, 2011, 2014, 2015, 2011, 2012, 2013, 2013, 2011, 2015, 2013, 2012, 2013, 2017, 2011, 2013, 2015, 2012, 2015, 2011, 2011, 2011, 2014, 2012, 2011, 2011, 2012, 2012, 2012, 2015, 2012, 2015, 2012, 2016, 2013, 2011, 2012, 2012, 2012, 2011, 2018, 2011, 2011, 2013, 2011, 2012, 2011, 2013, 2012, 2012, 2013, 2011, 2016, 2013, 2016, 2014, 2011, 2013, 2011, 2015, 2014]",7,2012
Dockelektro,276,"[2002, 2001, 2002, 2001, 2004, 2002, 2002, 2003, 2001, 2003, 1999, 2001, 2002, 2002, 2003, 2001, 2003, 2001, 2003, 2002, 2001, 2001, 2001, 2002, 2001, 2001, 2003, 2003, 2000, 2001, 2002, 2002, 2001, 2002, 2002, 2003, 2001, 2003, 2001, 2001, 2000, 2002, 2001, 2001, 2002, 2001, 2004, 2002, 2002, 2002, 2001, 2002, 2000, 2001, 2002, 2000, 2004, 2001, 2003, 2003, 2002, 2001, 2003, 2003, 2002, 2004, 2004, 2002, 2001, 2002, 2004, 2002, 2001]",5,2001
jawneyfloros,339,"[2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018]",0,2018
Ed-Shullivan,129,"[2018, 2019, 2020, 2019, 2019, 2019, 2019, 2017, 2017, 2020, 2015, 2015, 2019, 2019, 2019, 2018, 2016, 2016, 2013, 2017, 2014, 2020, 2014, 2018, 2018, 2013, 2019, 2014, 2019, 2014, 2017, 2020, 2020, 2017, 2020, 2018, 2020, 2019, 2017, 2015, 2018, 2018, 2016, 2015, 2019, 2020, 2018, 2013, 2017, 2015, 2018, 2018, 2020, 2017]",7,2017
cosmo_tiger,87,"[2016, 2014, 2011, 2016, 2012, 2014, 2013, 2012, 2012, 2014, 2015, 2015, 2013, 2017, 2015, 2011, 2016, 2014, 2013, 2015, 2011, 2011, 2016, 2016, 2011, 2014, 2013, 2015, 2013, 2016, 2012, 2011, 2015, 2014, 2012, 2016, 2017, 2013, 2016, 2013, 2016, 2014, 2012, 2014, 2013, 2013, 2016, 2013, 2015, 2013, 2011, 2015, 2013, 2015, 2014, 2011, 2015, 2017, 2014, 2015, 2012, 2013, 2014, 2014, 2017, 2016, 2013, 2014, 2013, 2017, 2011, 2012, 2014, 2012, 2014, 2011, 2013, 2014, 2013, 2015, 2013, 2017, 2014, 2016, 2015, 2011, 2015, 2011, 2017, 2016, 2013, 2011, 2012, 2017, 2015, 2017, 2015, 2015, 2016, 2015, 2015, 2013, 2013, 2015, 2011, 2012, 2011, 2014, 2012, 2011, 2012, 2011, 2013, 2013, 2013, 2015, 2015, 2016, 2016, 2013, 2012, 2011, 2011, 2011, 2016, 2014, 2016, 2014, 2015, 2016, 2017, 2013, 2013, 2016, 2011, 2015, 2015, 2017, 2016, 2013, 2015, 2015, 2016, 2011, 2016, 2016, 2011, 2013, 2012, 2011, 2012, 2014, 2012, 2012, 2012, 2016, 2014, 2012, 2012, 2016, 2013, 2012, 2014, 2012, 2011, 2016, 2012, 2012, 2014, 2013, 2011, 2013, 2016, 2013, 2015, 2014, 2012, 2015, 2015, 2013, 2011, 2015, 2014, 2014, 2012, 2013, 2016, 2014, 2011, 2015, 2011, 2016, 2014, 2013, 2012, 2013, 2011, 2013, 2012, 2013, 2011, 2012, 2011, 2012, 2011, 2016, 2016, 2013, 2011, 2013, 2011, 2015, 2013, 2016, 2014, 2011, 2013]",6,2013
paulclaassen,148,"[2018, 2018, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2020, 2018, 2018, 2018, 2019, 2019, 2020, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2019, 2019, 2018, 2019, 2018, 2019, 2019, 2019, 2018, 2019, 2018, 2018, 2018, 2019, 2019, 2018, 2019, 2018, 2018, 2019, 2020, 2019, 2018, 2018, 2018, 2018, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2019, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2019, 2020, 2020, 2018, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2020, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2018, 2020, 2020, 2018, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2020, 2018, 2018, 2018, 2020, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2019, 2020, 2018, 2018, 2018, 2019, 2018, 2018, 2019, 2019, 2019, 2018, 2018, 2018, 2018, 2019, 2018, 2020, 2018, 2018, 2020, 2018, 2018, 2019, 2019, 2020, 2018, 2018, 2018, 2020, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2020, 2019, 2018, 2019, 2018, 2018, 2018, 2020, 2018, 2018, 2020, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2019, 2020, 2020, 2020, 2019, 2018, 2019, 2018, 2020, 2018, 2019, 2018, 2018, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2019, 2019, 2019, 2018, 2019, 2019, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2019, 2018, 2018, 2019, 2018, 2020, 2019]",2,2018
LoneWolfAndCub,264,"[2011, 2007, 2005, 2005, 2009, 2005, 2006, 2006, 2005, 2005, 2006, 2006, 2007, 2007, 2006, 2007, 2007, 2006, 2006, 2005, 2005, 2007, 2009, 2013, 2006, 2008, 2006, 2006, 2008, 2007, 2005, 2006, 2007, 2012, 2008, 2008, 2009, 2017, 2007, 2005, 2005, 2006, 2008, 2006, 2006, 2007, 2008, 2007, 2009, 2007, 2008, 2006, 2006, 2005, 2006, 2005, 2007, 2007, 2006, 2006, 2006, 2006, 2005, 2005, 2008, 2010, 2007, 2008, 2009, 2011, 2006, 2008, 2008, 2005, 2006, 2007, 2008, 2006, 2008, 2012, 2006, 2006, 2006, 2006, 2006, 2008, 2005, 2008, 2006, 2011, 2005, 2008, 2007, 2006, 2006, 2008, 2005, 2006, 2008, 2009, 2007]",12,2007
Ziya90,187,"[2010, 2009, 2009, 2017, 2016, 2017, 2009, 2010, 2010, 2016, 2016, 2013, 2017, 2010, 2016, 2011, 2009, 2010, 2010, 2010, 2009, 2010, 2013, 2011, 2010, 2016, 2010, 2010, 2010, 2013, 2014, 2017, 2016, 2009, 2011, 2013, 2010, 2009, 2013, 2017, 2009, 2017, 2009, 2010, 2010, 2015, 2015, 2016, 2010, 2010, 2012, 2015, 2016, 2010, 2010, 2010, 2011, 2010, 2009, 2010, 2010, 2010, 2010, 2010, 2010, 2009, 2013, 2010, 2010, 2010, 2010, 2010, 2012, 2009, 2016, 2010, 2010, 2010, 2010, 2012, 2010, 2010, 2013, 2009, 2016, 2016, 2009, 2010, 2015, 2010, 2011, 2016, 2013, 2009, 2009, 2013, 2013, 2017, 2010, 2010, 2010, 2010, 2009, 2010, 2010, 2010, 2016, 2016, 2010, 2010]",8,2011
bkrauser-81-311064,55,"[2016, 2011, 2013, 2013, 2016, 2013, 2014, 2016, 2011, 2017, 2014, 2017, 2016, 2017, 2014, 2016, 2016, 2017, 2017, 2016, 2016, 2014, 2014, 2013, 2013, 2017, 2014, 2017, 2016, 2016, 2017, 2014, 2016, 2016, 2011, 2017, 2014, 2016, 2014, 2015, 2016, 2016, 2014, 2017, 2013, 2016, 2014, 2017, 2016, 2016, 2014, 2017, 2011, 2011, 2018, 2015, 2017, 2016, 2016, 2017, 2016, 2014, 2017, 2015, 2017, 2016, 2014, 2012, 2017, 2011, 2014, 2017, 2013, 2017, 2013, 2015, 2013, 2016, 2011, 2016, 2018, 2014, 2017, 2017, 2017, 2016, 2014, 2017, 2016, 2016, 2016, 2014, 2017, 2018, 2016, 2011, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2011, 2016, 2016, 2013, 2013, 2017, 2017, 2016, 2013, 2015, 2017, 2016, 2016, 2016, 2011, 2015, 2011, 2014, 2012, 2012, 2012, 2016, 2016, 2016, 2017, 2016, 2014, 2014, 2016, 2017, 2016, 2014, 2014, 2016, 2016, 2017, 2017, 2014, 2016, 2016, 2017, 2014, 2013, 2014, 2016, 2014, 2011, 2017, 2017, 2011, 2016, 2017, 2016, 2015, 2013, 2011, 2017, 2017, 2016, 2014, 2016]",7,2015
arthur_tafero,175,"[2019, 2020, 2018, 2018, 2019, 2018, 2018, 2019, 2019, 2018, 2020, 2018, 2018, 2018, 2020, 2019, 2017, 2018, 2019, 2018, 2018, 2019, 2019, 2019, 2019, 2020, 2018, 2018, 2020, 2018, 2018, 2019, 2019, 2019, 2018, 2020, 2020, 2018, 2019, 2018, 2018, 2019, 2018, 2018, 2020, 2018, 2019, 2020, 2018, 2018, 2019, 2018, 2018, 2020, 2019, 2019, 2018, 2019, 2019, 2019, 2019]",3,2018
FilmMuscle,122,"[2013, 2014, 2013, 2013, 2015, 2015, 2014, 2014, 2015, 2014, 2013, 2013, 2019, 2013, 2013, 2014, 2013, 2015, 2014, 2014, 2014, 2014, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2015, 2014, 2013, 2015, 2013, 2014, 2013, 2013, 2013, 2013, 2013, 2015, 2013, 2015, 2014, 2013, 2014, 2013, 2014, 2014, 2013, 2013, 2014, 2014, 2014, 2013, 2014, 2013, 2014, 2014, 2013, 2014]",6,2013
dragokin,50,"[2015, 2013, 2014, 2015, 2014, 2014, 2014, 2014, 2015, 2014, 2014, 2013, 2014, 2013, 2014, 2014, 2014, 2013, 2014, 2014, 2014, 2014, 2013, 2014, 2014, 2014, 2013, 2014, 2014, 2014, 2014, 2014, 2013, 2014, 2015, 2013, 2013, 2014, 2015, 2013, 2015, 2015, 2014, 2014, 2013, 2013, 2014, 2013, 2019, 2013, 2015, 2014, 2014, 2013, 2013, 2015, 2014, 2014, 2014, 2015, 2014, 2014, 2015, 2013, 2013, 2014, 2013, 2014, 2014, 2013, 2013, 2013, 2015, 2013, 2013, 2013, 2014, 2013, 2014, 2014, 2013, 2014, 2014, 2015, 2015]",6,2013
r-48240,134,"[2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",0,2020
