username,0
0w0,Cluster 3
10sion,Cluster 1
3xHCCH,Cluster 2
851222,Cluster 1
=G=,Cluster 3
AKS-6,Cluster 3
A_Different_Drummer,Cluster 1
Aaron1375,Cluster 3
AaronCapenBanner,Cluster 3
AbhiMathews,Cluster 3
Agent10,Cluster 3
AhmedSpielberg99,Cluster 1
AirBourne_Bds,Cluster 3
Al_The_Strange,Cluster 3
Alanjackd,Cluster 1
Alexander_Blanchett,Cluster 1
AlsExGal,Cluster 1
Aly200,Cluster 1
AmyJenson1995,Cluster 3
Amyth47,Cluster 3
Andres-Camara,Cluster 1
Andy-296,Cluster 3
Angelus2,Cluster 3
Angeneer,Cluster 3
Angry_Arguer,Cluster 3
Animany94,Cluster 3
AnishMisra,Cluster 1
Anonymous_Maxine,Cluster 3
Antagonisten,Cluster 3
Anurag-Shetty,Cluster 1
Aoi_kdr,Cluster 3
ArchonCinemaReviews,Cluster 1
Argemaluco,Cluster 1
ArtVandelayImporterExporter,Cluster 3
Atreyu_II,Cluster 3
AudioFileZ,Cluster 1
AvidClimber,Cluster 3
BA_Harrison,Cluster 3
Badmoviessuck,Cluster 3
BandSAboutMovies,Cluster 3
Barky44,Cluster 3
Ben_Cheshire,Cluster 3
BeneCumb,Cluster 1
Benjamin-M-Weilert,Cluster 1
Benjamin_Cox,Cluster 3
Bob Pr.,Cluster 3
Bob-45,Cluster 3
Bogmeister,Cluster 3
Bored_Dragon,Cluster 3
BoydudeReviews,Cluster 3
Boyo-2,Cluster 3
Bravesfan17,Cluster 1
BroadswordCallinDannyBoy,Cluster 3
Bruce722,Cluster 1
Buddy-51,Cluster 3
Bunuel1976,Cluster 3
C22Man,Cluster 3
CANpatbuck3664,Cluster 1
CMTiago,Cluster 1
Calicodreamin,Cluster 3
Captain_Couth,Cluster 3
Carycomic,Cluster 3
Catherine_Grace_Zeh,Cluster 3
CelluRob,Cluster 3
Chalice_Of_Evil,Cluster 3
CharltonBoy,Cluster 3
Chris Knipp,Cluster 3
Chris_Docker,Cluster 3
ChristianUnchained,Cluster 3
Christian_Dimartino,Cluster 3
Christopher_Reid,Cluster 3
Chuck-149,Cluster 3
CineCritic2517,Cluster 3
CineMuseFilms,Cluster 1
Cineanalyst,Cluster 1
CinemaSerf,Cluster 1
CinematicInceptions,Cluster 3
Cirene404,Cluster 3
ClaytonDavis,Cluster 1
Cocacolaguy912-2,Cluster 3
Cosmoeticadotcom,Cluster 3
CountZero313,Cluster 3
Coventry,Cluster 3
Coxer99,Cluster 3
CrassActionHero,Cluster 3
Cristi_Ciopron,Cluster 3
CubsandCulture,Cluster 1
CuriosityKilledShawn,Cluster 3
DICK STEEL,Cluster 3
DJAkin,Cluster 3
DKosty123,Cluster 3
Dan1863Sickles,Cluster 1
Danny_G13,Cluster 3
Danusha_Goska,Cluster 1
DareDevilKid,Cluster 1
DarkVulcan29,Cluster 1
Darkside-Reviewer,Cluster 3
DarthBill,Cluster 3
DarthVoorhees,Cluster 3
Darth_Osmosis,Cluster 3
DavidSim240183,Cluster 3
DavidYZ,Cluster 3
David_Frames,Cluster 3
Deckard-16,Cluster 3
DeeNine-2,Cluster 3
Didier-Becu,Cluster 3
Dockelektro,Cluster 3
DonFishies,Cluster 3
Doylenf,Cluster 3
Dr_Coulardeau,Cluster 3
Dragonsouls,Cluster 3
DunnDeeDaGreat,Cluster 3
EUyeshima,Cluster 3
Ed-Shullivan,Cluster 1
Edvis-1997,Cluster 3
EijnarAmadeus,Cluster 3
Electrified_Voltage,Cluster 3
ElijahCSkuggs,Cluster 3
Elswet,Cluster 3
EmmettvanHalm,Cluster 3
EmperorNortonII,Cluster 3
Enchorde,Cluster 3
Endless_01,Cluster 1
Equalizer16,Cluster 1
Eternality,Cluster 3
EthanBJones_03,Cluster 2
Eumenides_0,Cluster 3
EvLauster,Cluster 3
ExpendableMan,Cluster 3
FairlyAnonymous,Cluster 3
FallenEye,Cluster 1
FeastMode,Cluster 1
Fella_shibby,Cluster 3
Fields201,Cluster 3
Figgy66-915-598470,Cluster 1
FilmCriticLalitRao,Cluster 3
FilmFanInTheHouse,Cluster 3
FilmFanatic03,Cluster 3
FilmMan47,Cluster 3
FilmMuscle,Cluster 1
FilmOtaku,Cluster 3
Flagrant-Baronessa,Cluster 3
FlashCallahan,Cluster 1
FlickJunkie-2,Cluster 3
Floated2,Cluster 1
Fluke_Skywalker,Cluster 1
FrankBooth_DeLarge,Cluster 3
GOWBTW,Cluster 3
Galina_movie_fan,Cluster 3
Geeky Randy,Cluster 3
Genti22,Cluster 3
GeorgeRoots,Cluster 3
Gideon24,Cluster 3
GiraffeDoor,Cluster 3
GirishGowda,Cluster 3
Gresh854,Cluster 3
Gubby-Allen,Cluster 3
HelenMary,Cluster 1
Hellmant,Cluster 1
Hey_Sweden,Cluster 3
Hollywood_Yoda,Cluster 3
Horror-yo,Cluster 3
Horst_In_Translation,Cluster 1
HotToastyRag,Cluster 3
Howlin Wolf,Cluster 3
I_Am_The_Taylrus,Cluster 3
I_Love_Spielberg,Cluster 3
Imdbidia,Cluster 3
Indy-52,Cluster 3
InlyCii,Cluster 3
Irishchatter,Cluster 1
Isaac5855,Cluster 3
J_Batek_II,Cluster 3
Jack the Ripper1888,Cluster 3
Jackpollins,Cluster 3
Jacques98,Cluster 3
JakeBrinkman,Cluster 3
JamesHitchcock,Cluster 3
James_De_Bello,Cluster 1
Jared_Andrews,Cluster 1
JayPatton88,Cluster 3
Jay_Exiomo,Cluster 3
JaydoDre,Cluster 3
Jeremy_Urquhart,Cluster 3
Jerghal,Cluster 1
Jerique,Cluster 3
Jithindurden,Cluster 1
Jo_Blo_Movie_Critic,Cluster 1
JoeB131,Cluster 3
JoeKarlosi,Cluster 3
JohnRayPeterson,Cluster 1
Johnny-the-Film-Sentinel-2187,Cluster 3
Jonathon_Natsis,Cluster 3
Jonny_Numb,Cluster 3
JoshtheGiant,Cluster 3
K3nzit,Cluster 3
KUAlum26,Cluster 3
KalKenobi83,Cluster 3
Karl Self,Cluster 3
Kdosda_Hegen,Cluster 3
KeremUlucay,Cluster 3
KnightsofNi11,Cluster 3
Kubris,Cluster 3
L_Copa,Cluster 3
La Gremlin,Cluster 3
Laakbaar,Cluster 1
Lady_Targaryen,Cluster 3
LazySod,Cluster 3
LebowskiT1000,Cluster 3
Lejink,Cluster 2
LeonardKniffel,Cluster 3
Lewis_Heather787,Cluster 1
Likes_Ninjas90,Cluster 1
Lily_hoho,Cluster 3
LivingDog,Cluster 3
LloydBayer,Cluster 1
LoneWolfAndCub,Cluster 3
Luigi Di Pilla,Cluster 1
MBunge,Cluster 3
MCMAYNERBERRY,Cluster 3
MF210,Cluster 3
MGPT80,Cluster 3
MJB784,Cluster 1
MOscarbradley,Cluster 1
MR_Heraclius,Cluster 1
Macleanie,Cluster 3
Majikat76,Cluster 2
Maleplatypus,Cluster 1
Maniac-9,Cluster 3
Manthorpe,Cluster 3
Marc_Israel_365,Cluster 3
MartianOctocretr5,Cluster 3
Marwan-Bob,Cluster 1
Marx_Bros_Fan86,Cluster 3
MattBrady099,Cluster 1
Matt_Layden,Cluster 3
MattyAndAnnika,Cluster 1
MaxBorg89,Cluster 3
MaximumMadness,Cluster 3
Maziun,Cluster 3
Meven_Stoffat,Cluster 3
Michael Kenmore,Cluster 3
MichaelMRamey,Cluster 1
MichaelMargetis,Cluster 3
MickeyTheConstant,Cluster 1
MihaiSorinToma,Cluster 1
Mike_Devine,Cluster 1
MikesIDhasbeentaken,Cluster 1
MissSimonetta,Cluster 3
Mitch-25,Cluster 3
Mnemosyne15,Cluster 3
Monotreme02,Cluster 3
Movie Nuttball,Cluster 3
