,Cluster 1,Cluster 2,Cluster 3,Cluster 4
0w0,3.3166247903554,4.0,5.0990195135927845,2.8284271247461903
10sion,inf,3.7416573867739413,3.605551275463989,1.0
3xHCCH,2.6457513110645907,7.416198487095663,18.57417562100671,2.6457513110645907
851222,10.677078252031311,11.135528725660043,17.320508075688775,9.695359714832659
=G=,inf,5.5677643628300215,2.23606797749979,inf
AKS-6,inf,3.1622776601683795,3.1622776601683795,3.605551275463989
A_Different_Drummer,9.433981132056603,8.12403840463596,16.401219466856727,12.24744871391589
Aaron1375,5.385164807134504,6.324555320336759,13.45362404707371,6.4031242374328485
AaronCapenBanner,1.4142135623730951,9.273618495495704,10.488088481701515,3.1622776601683795
AbhiMathews,inf,3.7416573867739413,6.782329983125268,inf
Agent10,inf,5.477225575051661,4.123105625617661,1.4142135623730951
AhmedSpielberg99,5.656854249492381,5.0990195135927845,8.426149773176359,2.0
AirBourne_Bds,6.0,3.1622776601683795,10.63014581273465,5.0
Al_The_Strange,3.605551275463989,6.4031242374328485,15.297058540778355,3.1622776601683795
Alanjackd,16.278820596099706,14.933184523068078,3.0,17.74823934929885
Alexander_Blanchett,5.0,3.872983346207417,inf,inf
AlsExGal,5.196152422706632,5.385164807134504,9.055385138137417,4.123105625617661
Aly200,2.449489742783178,5.477225575051661,11.575836902790225,1.4142135623730951
AmyJenson1995,5.916079783099616,2.6457513110645907,10.344080432788601,5.196152422706632
Amyth47,15.264337522473747,14.594519519326424,8.660254037844387,10.63014581273465
Andres-Camara,12.84523257866513,14.933184523068078,inf,15.874507866387544
Andy-296,inf,5.916079783099616,3.605551275463989,4.0
Angelus2,inf,7.874007874011811,14.071247279470288,inf
Angeneer,inf,7.280109889280518,3.4641016151377544,1.4142135623730951
Angry_Arguer,inf,17.635192088548397,5.0,11.445523142259598
Animany94,3.7416573867739413,5.656854249492381,8.246211251235321,3.1622776601683795
AnishMisra,4.358898943540674,5.291502622129181,5.0,1.0
Anonymous_Maxine,inf,10.295630140987,8.12403840463596,2.0
Antagonisten,1.0,1.4142135623730951,3.1622776601683795,1.0
Anurag-Shetty,12.36931687685298,7.810249675906654,13.892443989449804,11.874342087037917
Aoi_kdr,6.164414002968976,7.745966692414834,5.385164807134504,10.862780491200215
ArchonCinemaReviews,3.872983346207417,2.8284271247461903,8.0,8.660254037844387
Argemaluco,3.4641016151377544,8.0,10.862780491200215,3.605551275463989
ArtVandelayImporterExporter,13.038404810405298,14.142135623730951,11.445523142259598,3.0
Atreyu_II,inf,7.874007874011811,1.0,3.605551275463989
AudioFileZ,4.47213595499958,3.1622776601683795,5.744562646538029,6.0
AvidClimber,inf,5.291502622129181,11.40175425099138,inf
BA_Harrison,11.180339887498949,12.0,13.114877048604,11.532562594670797
Badmoviessuck,6.4031242374328485,1.7320508075688772,5.5677643628300215,5.830951894845301
BandSAboutMovies,6.6332495807108,5.916079783099616,6.557438524302,4.242640687119285
Barky44,inf,6.4031242374328485,5.830951894845301,1.0
Ben_Cheshire,inf,9.797958971132712,1.4142135623730951,inf
BeneCumb,3.872983346207417,4.47213595499958,15.198684153570664,4.58257569495584
Benjamin-M-Weilert,7.0,6.6332495807108,11.661903789690601,6.708203932499369
Benjamin_Cox,inf,1.0,4.123105625617661,inf
Bob Pr.,inf,8.94427190999916,3.872983346207417,inf
Bob-45,inf,2.0,5.5677643628300215,3.0
Bogmeister,inf,3.1622776601683795,inf,2.0
Bored_Dragon,6.557438524302,9.38083151964686,13.152946437965905,10.14889156509222
BoydudeReviews,3.0,4.358898943540674,3.4641016151377544,1.0
Boyo-2,inf,12.767145334803704,7.615773105863909,1.0
Bravesfan17,inf,2.0,7.280109889280518,1.0
BroadswordCallinDannyBoy,inf,3.0,9.0,1.0
Bruce722,3.1622776601683795,4.898979485566356,14.317821063276353,2.6457513110645907
Buddy-51,3.1622776601683795,5.5677643628300215,14.832396974191326,6.082762530298219
Bunuel1976,inf,4.795831523312719,8.660254037844387,3.0
C22Man,8.12403840463596,5.385164807134504,6.6332495807108,7.810249675906654
CANpatbuck3664,5.830951894845301,2.8284271247461903,inf,7.615773105863909
CMTiago,1.0,4.123105625617661,13.114877048604,1.4142135623730951
Calicodreamin,1.4142135623730951,2.8284271247461903,3.7416573867739413,inf
Captain_Couth,inf,6.6332495807108,1.0,4.123105625617661
Carycomic,7.937253933193772,4.242640687119285,8.94427190999916,6.928203230275509
Catherine_Grace_Zeh,inf,2.449489742783178,1.0,inf
CelluRob,2.6457513110645907,4.123105625617661,1.0,2.6457513110645907
Chalice_Of_Evil,2.6457513110645907,1.7320508075688772,11.090536506409418,4.242640687119285
CharltonBoy,inf,9.486832980505138,1.4142135623730951,inf
Chris Knipp,inf,4.358898943540674,10.816653826391969,2.0
Chris_Docker,inf,7.483314773547883,5.656854249492381,8.306623862918075
ChristianUnchained,inf,4.242640687119285,15.198684153570664,1.0
Christian_Dimartino,inf,7.54983443527075,22.360679774997898,1.0
Christopher_Reid,6.928203230275509,7.745966692414834,9.1104335791443,6.164414002968976
Chuck-149,inf,11.269427669584644,4.58257569495584,10.099504938362077
