username,cluster,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6
0w0,Cluster 3,anselmdaniel,gilgongo1980,harryplinkett14,cdjh-81125,davidmvining,evan_harvey
10sion,Cluster 1,Seraphion,ClaytonDavis,blanbrn,secondtake,michaeltrivedi,bkoganbing
3xHCCH,Cluster 2,tavm,tabuno,Lejink,inkblot11,lisafordeay,EthanBJones_03
851222,Cluster 1,eddie_baggins,stevendbeard,nogodnomasters,ThomasDrufke,jadepietro,RforFilm
=G=,Cluster 3,Spanner-2,CharltonBoy,redkiwi,iohefy-2,rosscinema,philip_vanderveken
AKS-6,Cluster 3,CharltonBoy,Rammstein-2,gbheron,Movie-12,chrisbrown6453,FlickJunkie-2
A_Different_Drummer,Cluster 1,cosmo_tiger,DareDevilKid,billygoat1071,ArchonCinemaReviews,jadepietro,bryank-04844
Aaron1375,Cluster 3,jacobjohntaylor1,BA_Harrison,dee.reid,disdressed12,view_and_review,The-Sarkologist
AaronCapenBanner,Cluster 3,gcd70,MovieAddict2016,OllieSuave-007,sme_no_densetsu,jacobjohntaylor1,SmileysWorld
AbhiMathews,Cluster 3,brianberta,datorsiers2,rajatdahiyax,t-viktor212,Red-Barracuda,Rickting
Agent10,Cluster 3,mjw2305,Anonymous_Maxine,DunnDeeDaGreat,MovieAddict2016,Movie Nuttball,LebowskiT1000
AhmedSpielberg99,Cluster 1,Offworld_Colony,kevin c,andrewroy-04316,CubsandCulture,kjproulx,strike-1995
AirBourne_Bds,Cluster 3,Sparrowmaniac,The_Orenda,Jay_Exiomo,colonel_green,joestank15,sarastro7
Al_The_Strange,Cluster 3,brando647,KalKenobi83,fernandoschiavi,Tyson14,The-Sarkologist,paul_haakonsen
Alanjackd,Cluster 1,RforFilm,subxerogravity,MattyAndAnnika,oscaralbert,burlesonjesse5,stevendbeard
Alexander_Blanchett,Cluster 1,brankovranjkovic,kjproulx,scb_coldsteel,joshbarton15,rockman182,cruise01
AlsExGal,Cluster 1,eagandersongil,CubsandCulture,Horst_In_Translation,TheMovieDiorama,andrewroy-04316,jamesrupert2014
Aly200,Cluster 1,michaeltrivedi,bankofmarquis,carlos37andre,markgorman,matthewssilverhammer,eagandersongil
AmyJenson1995,Cluster 3,caseynicholson,freewillyfan,morganstephens512,t-viktor212,OttoVonB,wisemantonofski
Amyth47,Cluster 3,zeekwunlau,rachelrose-87356,Takethispunch,f-57307,krational66,andrewchristianjr
Andres-Camara,Cluster 1,paul-allaer,austin0731,brankovranjkovic,Alexander_Blanchett,scb_coldsteel,CineMuseFilms
Andy-296,Cluster 3,squirrel_burst,stensson,RJBurke1942,badajoz-1,Chris Knipp,come2whereimfrom
Angelus2,Cluster 3,dunmore_ego,tburke85,pinkliz41,gigan-92,raypdaley182,moviewizguy
Angeneer,Cluster 3,Rammstein-2,FlickJunkie-2,Boyo-2,CharltonBoy,gbheron,m_madhu
Angry_Arguer,Cluster 3,f-57307,zzhhhqing,Mnemosyne15,Spleen,johnmschofield,g-96059
Animany94,Cluster 3,datautisticgamer-74853,ProjectAnomaly,apararas,robert-710-767167,dilipbts,rbn_lrk-1
AnishMisra,Cluster 1,austin0731,scb_coldsteel,Alexander_Blanchett,brankovranjkovic,msbreviews,rockman182
Anonymous_Maxine,Cluster 3,MovieAddict2016,mjw2305,johnnyboyz,Stampsfightclub,Agent10,disdressed12
Antagonisten,Cluster 3,Angelus2,PersianPlaya408,The_Void,raypdaley182,charchuk,hu675
Anurag-Shetty,Cluster 1,stevendbeard,jadepietro,RforFilm,leonblackwood,MrDHWong,eddie_baggins
Aoi_kdr,Cluster 3,zlx_zjlq,Lily_hoho,h-28658,InlyCii,yuzou-45815,r-48240
ArchonCinemaReviews,Cluster 1,vistheindian,DareDevilKid,stephendaxter,RevRonster,tgchan,James_De_Bello
Argemaluco,Cluster 1,sstrunks-05245,howard.schumann,meeza,Turfseer,ClaytonDavis,aharmas
ArtVandelayImporterExporter,Cluster 3,Tehmeh,KnightsofNi11,gilgongo1980,TdSmth5,Sparrowmaniac,GeorgeRoots
Atreyu_II,Cluster 3,Coxer99,Spleen,gcd70,moonspinner55,apararas,I_Am_The_Taylrus
AudioFileZ,Cluster 1,burlesonjesse5,palavitsinis,bob-the-movie-man,stevendbeard,leonblackwood,dar0417
AvidClimber,Cluster 3,lagudafuad,mjw2305,Stampsfightclub,MovieAddict2016,OriginalMovieBuff21,bevo-13678
BA_Harrison,Cluster 3,jacobjohntaylor1,Aaron1375,bowmanblue,paul_haakonsen,view_and_review,The-Sarkologist
Badmoviessuck,Cluster 3,WeAreLive,freewillyfan,iguth,thepriceofpayne,kriscot-48548,fernandoschiavi
BandSAboutMovies,Cluster 3,jamiedarlow-37510,gwnightscream,mikayakatnt,justin-fencsak,popculturethoughts,Coventry
Barky44,Cluster 3,rosscinema,nobbytatoes,mstomaso,Chris_Docker,anhedonia,Pavel-8
Ben_Cheshire,Cluster 3,Captain_Couth,OriginalMovieBuff21,Red-Barracuda,rebeljenn,PredragReviews,Manthorpe
BeneCumb,Cluster 1,TheSquiss,billygoat1071,Sergeant_Tibbs,estebangonzalez10,cosmo_tiger,Likes_Ninjas90
Benjamin-M-Weilert,Cluster 1,Anurag-Shetty,MrDHWong,jadepietro,cliftonofun,stevendbeard,bob-the-movie-man
Benjamin_Cox,Cluster 3,jpschapira,jemps918,tastyhotdogs,KUAlum26,tnrcooper,fwomp
Bob Pr.,Cluster 3,Galina_movie_fan,Philby-3,JoshtheGiant,gelman@attglobal.net,Marc_Israel_365,Cosmoeticadotcom
Bob-45,Cluster 3,Rammstein-2,chrisbrown6453,gbheron,redkiwi,johnnymonsarrat,jhclues
Bogmeister,Cluster 3,Movie Nuttball,theshadow908,AKS-6,mjw2305,SMLA11,LebowskiT1000
Bored_Dragon,Cluster 3,BA_Harrison,miguelneto-74936,jacobjohntaylor1,MovieAddict2016,Mr-Fusion,preppy-3
BoydudeReviews,Cluster 3,datautisticgamer-74853,ProjectAnomaly,apararas,Animany94,renegadeviking-271-528568,rbn_lrk-1
Boyo-2,Cluster 3,Angeneer,CharltonBoy,gbheron,Rammstein-2,SMLA11,m_madhu
Bravesfan17,Cluster 1,christophe92300,RevRonster,Floated2,cultfilmfreaksdotcom,napierslogs,FilmMuscle
BroadswordCallinDannyBoy,Cluster 3,hu675,kairingler,charchuk,The_Void,mjw2305,Jacques98
Bruce722,Cluster 1,billygoat1071,TheSquiss,Sergeant_Tibbs,griffolyon12,cultfilmfreaksdotcom,moviexclusive
Buddy-51,Cluster 3,DICK STEEL,dfranzen70,dbborroughs,jdkraus,fwomp,DonFishies
Bunuel1976,Cluster 3,DonFishies,fwomp,come2whereimfrom,DICK STEEL,LazySod,moutonbear25
C22Man,Cluster 3,utgard14,jaemiewaters,ryanskywalker-87402,Badmoviessuck,vip_ebriega,Elswet
CANpatbuck3664,Cluster 1,brankovranjkovic,austin0731,PyroSikTh,gavinp9,rockman182,colewaters
CMTiago,Cluster 1,RevRonster,billygoat1071,TheSquiss,cultfilmfreaksdotcom,bryank-04844,DareDevilKid
Calicodreamin,Cluster 3,nicholls905-280-546911,GOWBTW,justin-fencsak,tburke85,LebowskiT1000,gavin-thelordofthefu-48-460297
Captain_Couth,Cluster 3,emperor_bender,TalesfromTheCryptfan,kannibalcorpsegrinder,skybrick736,Jacques98,PredragReviews
Carycomic,Cluster 3,freewillyfan,drawlife,fernandoschiavi,WeAreLive,Chalice_Of_Evil,judywalker2
Catherine_Grace_Zeh,Cluster 3,triple8,Electrified_Voltage,dockerykelli,chrisbrown6453,len-21,Jack the Ripper1888
CelluRob,Cluster 3,Thanos_Karagioras,renegadeviking-271-528568,krational66,f-57307,InlyCii,zeekwunlau
Chalice_Of_Evil,Cluster 3,fernandoschiavi,WeAreLive,freewillyfan,drawlife,malmsteneino,ryanskywalker-87402
